"","height_data","LW","LN","P","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10"
"Height.5100",140.432184424955,1,0,0,"A","A","A","A","A","B","A","A","B","B","A","A","A","A","A","B","A","B","A","B"
"Height.5101",144.132363399269,1,0,0,"A","A","A","A","A","B","A","A","B","A","B","A","B","B","B","B","B","A","B","A"
"Height.5102",141.761791907358,1,0,0,"A","A","A","A","A","B","A","A","A","B","A","A","B","A","B","B","A","A","A","A"
"Height.5103",145.463218216087,1,0,0,"A","A","A","A","A","B","A","A","A","A","B","A","B","B","B","A","A","A","B","B"
"Height.5104",138.30460593187,1,0,0,"A","A","A","A","A","A","B","B","B","B","A","B","A","A","B","A","A","B","A","A"
"Height.5105",143.109258453596,1,0,0,"A","A","A","A","A","A","B","B","B","A","A","A","B","A","B","A","B","A","B","B"
"Height.5106",140.893960029885,1,0,0,"A","A","A","A","A","A","B","B","A","B","A","A","B","B","A","A","A","A","B","B"
"Height.5107",144.104211634431,1,0,0,"A","A","A","A","A","A","B","B","A","A","B","B","A","A","A","B","A","B","A","A"
"Height.5108",140.874461304391,1,0,0,"A","A","A","A","A","A","B","A","B","B","A","A","A","B","A","A","A","B","A","B"
"Height.5109",145.377585515779,1,0,0,"A","A","A","A","A","A","B","A","B","A","B","A","A","A","A","A","A","A","B","A"
"Height.5110",142.532562805787,1,0,0,"A","A","A","A","A","A","B","A","A","B","B","A","B","A","B","B","B","B","A","A"
"Height.5111",146.033316185351,1,0,0,"A","A","A","A","A","A","B","A","A","A","B","A","A","A","B","B","A","A","B","B"
"Height.5112",138.064048224186,1,0,0,"A","A","A","A","A","A","A","B","B","B","A","B","B","A","B","B","A","A","B","B"
"Height.5113",142.775250992561,1,0,0,"A","A","A","A","A","A","A","B","B","A","A","B","B","A","A","B","B","A","A","A"
"Height.5114",141.562213832826,1,0,0,"A","A","A","A","A","A","A","B","A","B","A","A","B","B","B","B","B","A","B","A"
"Height.5115",144.900525519604,1,0,0,"A","A","A","A","A","A","A","B","A","A","A","B","B","A","A","B","B","B","A","A"
"Height.5116",141.341293348635,1,0,0,"A","A","A","A","A","A","A","A","B","B","A","B","A","A","A","B","B","A","A","A"
"Height.5117",144.6152902693,1,0,0,"A","A","A","A","A","A","A","A","B","A","B","A","A","A","A","B","B","B","A","A"
"Height.5118",143.987525269392,1,0,0,"A","A","A","A","A","A","A","A","A","B","B","A","B","B","A","B","B","A","B","B"
"Height.5119",146.731660209667,1,0,0,"A","A","A","A","A","A","A","A","A","A","B","B","B","A","A","B","A","A","A","B"
"Height.5120",64.9259712617695,1,0,1,"B","B","B","B","B","B","B","B","B","B","B","B","A","B","A","A","B","A","B","B"
"Height.5121",66.8522593117173,1,0,1,"B","B","B","B","B","B","B","B","B","A","A","B","A","B","B","A","A","A","A","B"
"Height.5122",65.2644821414476,1,0,1,"B","B","B","B","B","B","B","B","A","B","A","B","B","B","B","B","B","B","B","B"
"Height.5123",71.3677243936043,1,0,1,"B","B","B","B","B","B","B","B","A","A","B","B","B","A","B","B","A","B","B","A"
"Height.5124",68.0314582624778,1,0,1,"B","B","B","B","B","B","B","A","B","B","B","A","B","A","B","A","B","A","A","A"
"Height.5125",69.3658807976844,1,0,1,"B","B","B","B","B","B","B","A","B","A","B","B","A","B","A","B","B","B","A","B"
"Height.5126",69.6632901005446,1,0,1,"B","B","B","B","B","B","B","A","A","B","B","A","B","B","B","A","B","A","A","B"
"Height.5127",71.0445090095652,1,0,1,"B","B","B","B","B","B","B","A","A","A","B","A","A","A","B","B","B","B","A","A"
"Height.5128",63.9728184450404,1,0,1,"B","B","B","B","B","B","A","B","B","B","B","A","A","A","B","A","A","B","A","B"
"Height.5129",66.9749600765175,1,0,1,"B","B","B","B","B","B","A","B","B","A","B","A","B","B","B","A","A","B","A","B"
"Height.5130",66.64198281891,1,0,1,"B","B","B","B","B","B","A","B","A","B","A","B","A","A","A","B","A","B","A","B"
"Height.5131",69.2248645418676,1,0,1,"B","B","B","B","B","B","A","B","A","A","A","A","B","B","B","B","B","B","A","A"
"Height.5132",68.4959917459249,1,0,1,"B","B","B","B","B","B","A","A","B","B","A","B","B","B","A","A","B","A","A","B"
"Height.5133",71.3421804021263,1,0,1,"B","B","B","B","B","B","A","A","B","A","A","B","B","B","B","B","B","A","B","B"
"Height.5134",70.0401115049277,1,0,1,"B","B","B","B","B","B","A","A","A","B","A","A","B","A","A","B","B","A","A","B"
"Height.5135",73.4472639210133,1,0,1,"B","B","B","B","B","B","A","A","A","A","A","B","A","B","A","B","B","A","A","B"
"Height.5136",65.0674498614133,1,0,1,"B","B","B","B","B","A","B","B","B","B","A","B","B","A","A","A","B","B","B","B"
"Height.5137",67.9556205942402,1,0,1,"B","B","B","B","B","A","B","B","B","A","A","A","B","B","B","A","A","B","A","A"
"Height.5138",68.1127522304328,1,0,1,"B","B","B","B","B","A","B","B","A","B","B","B","B","B","A","B","A","A","B","A"
"Height.5139",70.3386963730308,1,0,1,"B","B","B","B","B","A","B","B","A","A","A","A","B","B","B","B","A","A","A","A"
"Height.5140",68.0899839215772,1,0,1,"B","B","B","B","B","A","B","A","B","B","A","B","A","B","B","A","A","A","A","B"
"Height.5141",72.5005824985202,1,0,1,"B","B","B","B","B","A","B","A","B","A","A","A","A","B","A","A","A","A","B","A"
"Height.5142",69.7858366916566,1,0,1,"B","B","B","B","B","A","B","A","A","B","A","B","B","A","A","B","A","A","B","B"
"Height.5143",74.8020693155823,1,0,1,"B","B","B","B","B","A","B","A","A","A","B","B","A","A","A","A","A","B","B","B"
"Height.5144",66.5674087168448,1,0,1,"B","B","B","B","B","A","A","B","B","B","B","A","A","B","A","A","A","A","A","B"
"Height.5145",69.1660975978011,1,0,1,"B","B","B","B","B","A","A","B","B","A","B","A","A","A","B","B","A","A","A","B"
"Height.5146",67.1272939977478,1,0,1,"B","B","B","B","B","A","A","B","A","B","B","A","B","A","A","A","B","B","A","B"
"Height.5147",71.0586218903973,1,0,1,"B","B","B","B","B","A","A","B","A","A","A","B","A","B","B","A","A","B","B","B"
"Height.5148",68.2911980998127,1,0,1,"B","B","B","B","B","A","A","A","B","B","A","A","A","A","A","B","A","B","B","A"
"Height.5149",71.9901057225579,1,0,1,"B","B","B","B","B","A","A","A","B","A","B","A","A","B","A","B","B","B","A","B"
"Height.5150",70.5894231382137,1,0,1,"B","B","B","B","B","A","A","A","A","B","A","A","A","B","A","B","B","A","A","A"
"Height.5151",73.6327785128417,1,0,1,"B","B","B","B","B","A","A","A","A","A","B","A","B","A","A","A","B","B","A","B"
"Height.5152",66.0858683548619,1,0,1,"B","B","B","B","A","B","B","B","B","B","B","A","B","A","A","B","A","B","B","B"
"Height.5153",68.3923982361466,1,0,1,"B","B","B","B","A","B","B","B","B","A","A","A","A","B","A","B","A","A","A","B"
"Height.5154",68.0906402549834,1,0,1,"B","B","B","B","A","B","B","B","A","B","B","B","A","A","A","A","A","A","B","A"
"Height.5155",71.8200909573123,1,0,1,"B","B","B","B","A","B","B","B","A","A","A","A","A","A","B","A","B","B","A","B"
"Height.5156",68.3582806684279,1,0,1,"B","B","B","B","A","B","B","A","B","B","A","B","A","A","A","A","A","A","B","B"
"Height.5157",72.4577356917654,1,0,1,"B","B","B","B","A","B","B","A","B","A","B","A","A","B","B","A","B","A","A","B"
"Height.5158",71.1533802564569,1,0,1,"B","B","B","B","A","B","B","A","A","B","B","B","A","A","B","B","B","A","B","B"
"Height.5159",74.2200027217346,1,0,1,"B","B","B","B","A","B","B","A","A","A","B","A","B","A","A","A","B","B","A","A"
"Height.5160",67.3922860172285,1,0,1,"B","B","B","B","A","B","A","B","B","B","B","A","A","A","A","B","B","A","B","B"
"Height.5161",70.742225976082,1,0,1,"B","B","B","B","A","B","A","B","B","A","B","B","A","B","A","B","B","B","A","A"
"Height.5162",70.2730711412496,1,0,1,"B","B","B","B","A","B","A","B","A","B","B","B","B","A","A","A","A","A","A","A"
"Height.5163",73.0606203287437,1,0,1,"B","B","B","B","A","B","A","B","A","A","A","A","A","A","A","A","B","B","B","A"
"Height.5164",69.9675226589882,1,0,1,"B","B","B","B","A","B","A","A","B","B","B","A","A","A","A","A","A","B","B","B"
"Height.5165",73.8700941612264,1,0,1,"B","B","B","B","A","B","A","A","B","A","A","A","A","A","A","B","B","B","A","A"
"Height.5166",72.0876551114205,1,0,1,"B","B","B","B","A","B","A","A","A","B","A","A","A","B","A","A","A","B","A","B"
"Height.5167",74.7904222602908,1,0,1,"B","B","B","B","A","B","A","A","A","A","B","A","A","B","A","B","A","A","A","A"
"Height.5168",68.4891065857083,1,0,1,"B","B","B","B","A","A","B","B","B","B","A","B","B","A","B","A","B","B","B","A"
"Height.5169",72.5157604734502,1,0,1,"B","B","B","B","A","A","B","B","B","A","A","A","A","B","A","B","A","A","B","B"
"Height.5170",70.2049988518428,1,0,1,"B","B","B","B","A","A","B","B","A","B","A","B","A","B","A","A","B","A","B","A"
"Height.5171",73.0149500406483,1,0,1,"B","B","B","B","A","A","B","B","A","A","B","A","B","B","B","B","A","B","B","B"
"Height.5172",71.5111379450586,1,0,1,"B","B","B","B","A","A","B","A","B","B","A","A","B","B","A","B","A","A","B","B"
"Height.5173",74.3171452820306,1,0,1,"B","B","B","B","A","A","B","A","B","A","B","A","B","A","A","A","B","B","A","A"
"Height.5174",73.3037239274623,1,0,1,"B","B","B","B","A","A","B","A","A","B","B","A","B","B","B","B","A","B","B","A"
"Height.5175",75.8235752402769,1,0,1,"B","B","B","B","A","A","B","A","A","A","B","A","B","A","B","A","A","B","A","A"
"Height.5176",69.6599369401717,1,0,1,"B","B","B","B","A","A","A","B","B","B","B","A","B","B","B","B","A","A","A","B"
"Height.5177",72.1758658749664,1,0,1,"B","B","B","B","A","A","A","B","B","A","A","B","B","A","A","B","B","B","B","B"
"Height.5178",69.6354350913888,1,0,1,"B","B","B","B","A","A","A","B","A","B","A","B","A","A","B","B","A","A","B","B"
"Height.5179",73.7742139517454,1,0,1,"B","B","B","B","A","A","A","B","A","A","A","B","B","A","A","A","A","A","A","A"
"Height.5180",72.3168339430083,1,0,1,"B","B","B","B","A","A","A","A","B","B","B","B","A","B","B","A","B","A","B","A"
"Height.5181",75.2761298531288,1,0,1,"B","B","B","B","A","A","A","A","B","A","A","A","B","B","B","A","B","B","B","A"
"Height.5182",73.4039678917799,1,0,1,"B","B","B","B","A","A","A","A","A","B","B","A","B","A","A","B","A","A","A","B"
"Height.5183",78.2262556283287,1,0,1,"B","B","B","B","A","A","A","A","A","A","B","A","B","A","B","B","A","B","A","B"
"Height.5184",124.611053041211,1,0,1,"B","B","B","A","B","B","B","B","B","B","B","A","B","B","A","B","A","A","B","A"
"Height.5185",126.374064891563,1,0,1,"B","B","B","A","B","B","B","B","B","A","B","A","A","A","B","A","B","B","A","B"
"Height.5186",126.379652243986,1,0,1,"B","B","B","A","B","B","B","B","A","B","B","A","B","A","B","A","A","A","B","A"
"Height.5187",130.165780113859,1,0,1,"B","B","B","A","B","B","B","B","A","A","B","A","A","A","B","B","B","B","B","A"
"Height.5188",126.533816044266,1,0,1,"B","B","B","A","B","B","B","A","B","B","B","B","A","B","B","B","A","A","B","B"
"Height.5189",128.504696404046,1,0,1,"B","B","B","A","B","B","B","A","B","A","B","A","B","A","A","B","A","B","A","B"
"Height.5190",128.120852440436,1,0,1,"B","B","B","A","B","B","B","A","A","B","B","B","A","B","A","B","B","B","A","A"
"Height.5191",132.151786816397,1,0,1,"B","B","B","A","B","B","B","A","A","A","B","B","B","B","A","B","A","A","B","A"
"Height.5192",124.670948445429,1,0,1,"B","B","B","A","B","B","A","B","B","B","A","B","A","B","A","B","B","A","A","B"
"Height.5193",126.344389625639,1,0,1,"B","B","B","A","B","B","A","B","B","A","B","A","A","A","A","A","B","B","B","A"
"Height.5194",127.276862853549,1,0,1,"B","B","B","A","B","B","A","B","A","B","A","B","A","A","A","B","B","A","A","A"
"Height.5195",130.797853920835,1,0,1,"B","B","B","A","B","B","A","B","A","A","A","A","B","B","A","B","B","B","B","B"
"Height.5196",126.942316409065,1,0,1,"B","B","B","A","B","B","A","A","B","B","B","A","B","A","B","A","A","B","B","B"
"Height.5197",130.474274578159,1,0,1,"B","B","B","A","B","B","A","A","B","A","A","B","A","A","A","A","B","A","B","A"
"Height.5198",129.511201529109,1,0,1,"B","B","B","A","B","B","A","A","A","B","B","B","B","A","B","A","A","B","B","A"
"Height.5199",132.91191201852,1,0,1,"B","B","B","A","B","B","A","A","A","A","A","A","A","B","B","A","B","B","B","B"
"Height.5200",124.23658726891,1,0,1,"B","B","B","A","B","A","B","B","B","B","A","A","B","B","B","A","A","A","B","B"
"Height.5201",129.778263131946,1,0,1,"B","B","B","A","B","A","B","B","B","A","B","B","A","B","B","B","B","A","A","B"
"Height.5202",127.002154643061,1,0,1,"B","B","B","A","B","A","B","B","A","B","A","A","A","B","B","B","A","A","B","B"
"Height.5203",131.654576951639,1,0,1,"B","B","B","A","B","A","B","B","A","A","B","A","B","B","B","B","A","B","A","A"
"Height.5204",128.491402031791,1,0,1,"B","B","B","A","B","A","B","A","B","B","B","A","B","A","A","B","B","A","A","B"
"Height.5205",131.399214120579,1,0,1,"B","B","B","A","B","A","B","A","B","A","B","A","B","B","A","A","A","B","B","A"
"Height.5206",129.816823043792,1,0,1,"B","B","B","A","B","A","B","A","A","B","A","A","B","A","A","A","A","A","A","B"
"Height.5207",134.213800411279,1,0,1,"B","B","B","A","B","A","B","A","A","A","B","A","A","B","B","A","A","A","B","A"
"Height.5208",126.975717159534,1,0,1,"B","B","B","A","B","A","A","B","B","B","A","B","A","B","A","B","B","A","B","A"
"Height.5209",127.600797165415,1,0,1,"B","B","B","A","B","A","A","B","B","A","B","B","B","A","B","A","A","B","A","A"
"Height.5210",128.638631777638,1,0,1,"B","B","B","A","B","A","A","B","A","B","B","B","B","B","A","B","A","A","A","B"
"Height.5211",132.219255751482,1,0,1,"B","B","B","A","B","A","A","B","A","A","A","B","A","A","A","A","A","B","B","A"
"Height.5212",129.563995619898,1,0,1,"B","B","B","A","B","A","A","A","B","B","A","A","A","A","A","A","B","B","B","A"
"Height.5213",132.001697987841,1,0,1,"B","B","B","A","B","A","A","A","B","A","B","B","B","A","B","A","B","B","B","A"
"Height.5214",130.233076239792,1,0,1,"B","B","B","A","B","A","A","A","A","B","A","B","A","B","A","A","A","A","A","B"
"Height.5215",134.870320580234,1,0,1,"B","B","B","A","B","A","A","A","A","A","B","B","A","A","B","B","B","B","A","A"
"Height.5216",126.340115897255,1,0,1,"B","B","B","A","A","B","B","B","B","B","B","B","A","A","A","B","A","B","A","A"
"Height.5217",130.004791066026,1,0,1,"B","B","B","A","A","B","B","B","B","A","B","A","A","B","A","B","B","B","A","A"
"Height.5218",129.465549224976,1,0,1,"B","B","B","A","A","B","B","B","A","B","A","A","B","A","A","A","B","A","A","A"
"Height.5219",130.786801113772,1,0,1,"B","B","B","A","A","B","B","B","A","A","A","B","A","B","A","B","A","B","A","B"
"Height.5220",128.894161094267,1,0,1,"B","B","B","A","A","B","B","A","B","B","A","B","A","B","B","A","B","B","A","B"
"Height.5221",131.654114921511,1,0,1,"B","B","B","A","A","B","B","A","B","A","A","B","A","A","B","A","A","B","A","B"
"Height.5222",131.604342140044,1,0,1,"B","B","B","A","A","B","B","A","A","B","B","A","B","B","A","B","B","B","A","B"
"Height.5223",134.84059253275,1,0,1,"B","B","B","A","A","B","B","A","A","A","A","B","A","A","B","A","A","A","B","A"
"Height.5224",126.725360023977,1,0,1,"B","B","B","A","A","B","A","B","B","B","B","B","A","A","A","A","A","B","A","B"
"Height.5225",130.072998404536,1,0,1,"B","B","B","A","A","B","A","B","B","A","A","B","A","B","A","B","B","A","A","A"
"Height.5226",129.329642592725,1,0,1,"B","B","B","A","A","B","A","B","A","B","A","A","A","A","B","B","A","B","A","A"
"Height.5227",131.59344512491,1,0,1,"B","B","B","A","A","B","A","B","A","A","B","B","B","B","A","B","A","B","B","B"
"Height.5228",131.207517628388,1,0,1,"B","B","B","A","A","B","A","A","B","B","A","B","B","B","B","B","B","B","B","A"
"Height.5229",132.754595832839,1,0,1,"B","B","B","A","A","B","A","A","B","A","B","A","A","A","A","B","B","B","B","B"
"Height.5230",130.442559778379,1,0,1,"B","B","B","A","A","B","A","A","A","B","A","A","A","A","B","A","B","A","B","B"
"Height.5231",135.22197859579,1,0,1,"B","B","B","A","A","B","A","A","A","A","A","A","B","B","B","A","A","B","A","B"
"Height.5232",127.856178761147,1,0,1,"B","B","B","A","A","A","B","B","B","B","A","A","B","B","B","B","A","B","A","A"
"Height.5233",131.060499974229,1,0,1,"B","B","B","A","A","A","B","B","B","A","B","A","A","B","B","A","B","B","A","B"
"Height.5234",130.544435293182,1,0,1,"B","B","B","A","A","A","B","B","A","B","B","B","B","B","A","A","B","B","B","B"
"Height.5235",132.891893608122,1,0,1,"B","B","B","A","A","A","B","B","A","A","B","A","A","B","A","A","B","B","A","B"
"Height.5236",131.421369544471,1,0,1,"B","B","B","A","A","A","B","A","B","B","A","A","B","B","B","A","A","B","A","B"
"Height.5237",134.990716486802,1,0,1,"B","B","B","A","A","A","B","A","B","A","B","A","B","A","B","B","A","B","A","A"
"Height.5238",134.226921465115,1,0,1,"B","B","B","A","A","A","B","A","A","B","A","B","A","A","B","B","A","A","A","A"
"Height.5239",136.403503287933,1,0,1,"B","B","B","A","A","A","B","A","A","A","A","A","A","B","A","B","A","B","B","A"
"Height.5240",126.952557468715,1,0,1,"B","B","B","A","A","A","A","B","B","B","A","A","A","A","B","A","A","A","A","A"
"Height.5241",132.935262171436,1,0,1,"B","B","B","A","A","A","A","B","B","A","B","A","A","A","B","A","B","A","A","B"
"Height.5242",131.563302886288,1,0,1,"B","B","B","A","A","A","A","B","A","B","B","A","B","B","A","A","B","A","B","B"
"Height.5243",133.681611474923,1,0,1,"B","B","B","A","A","A","A","B","A","A","B","B","B","A","B","A","A","A","A","B"
"Height.5244",131.204948421018,1,0,1,"B","B","B","A","A","A","A","A","B","B","A","B","B","A","A","B","A","A","A","A"
"Height.5245",135.115151066632,1,0,1,"B","B","B","A","A","A","A","A","B","A","A","B","B","A","B","A","B","B","B","A"
"Height.5246",133.62106249732,1,0,1,"B","B","B","A","A","A","A","A","A","B","B","A","B","B","A","B","B","B","A","A"
"Height.5247",136.303284215459,1,0,1,"B","B","B","A","A","A","A","A","A","A","A","B","A","A","A","B","B","A","A","A"
"Height.5248",68.1579839009114,1,0,1,"B","B","A","B","B","B","B","B","B","B","B","A","B","A","A","A","A","B","B","B"
"Height.5249",70.7242455736686,1,0,1,"B","B","A","B","B","B","B","B","B","A","B","A","A","A","B","B","B","A","B","B"
"Height.5250",69.8983075603506,1,0,1,"B","B","A","B","B","B","B","B","A","B","A","A","B","B","A","B","B","B","B","A"
"Height.5251",72.1602601249806,1,0,1,"B","B","A","B","B","B","B","B","A","A","A","A","B","B","B","B","B","B","A","B"
"Height.5252",70.4729008837745,1,0,1,"B","B","A","B","B","B","B","A","B","B","B","B","B","A","A","A","A","B","B","A"
"Height.5253",72.305554179094,1,0,1,"B","B","A","B","B","B","B","A","B","A","B","A","B","B","A","A","A","A","B","B"
"Height.5254",72.5250117367132,1,0,1,"B","B","A","B","B","B","B","A","A","B","B","B","B","B","B","B","B","B","B","A"
"Height.5255",75.1963126947331,1,0,1,"B","B","A","B","B","B","B","A","A","A","A","B","A","B","A","A","B","A","A","A"
"Height.5256",67.5614456118267,1,0,1,"B","B","A","B","B","B","A","B","B","B","B","A","A","B","A","A","A","A","B","A"
"Height.5257",71.4474800915551,1,0,1,"B","B","A","B","B","B","A","B","B","A","B","B","B","A","A","B","A","B","A","B"
"Height.5258",69.8495968460963,1,0,1,"B","B","A","B","B","B","A","B","A","B","A","B","A","A","A","A","B","B","A","A"
"Height.5259",74.2161934470795,1,0,1,"B","B","A","B","B","B","A","B","A","A","A","B","A","B","B","A","A","B","A","A"
"Height.5260",70.4058976341247,1,0,1,"B","B","A","B","B","B","A","A","B","B","B","B","A","B","A","B","B","A","B","B"
"Height.5261",75.0240986824529,1,0,1,"B","B","A","B","B","B","A","A","B","A","A","A","B","B","B","B","B","B","A","A"
"Height.5262",73.734951737972,1,0,1,"B","B","A","B","B","B","A","A","A","B","A","B","A","A","A","A","A","B","A","A"
"Height.5263",76.778461789777,1,0,1,"B","B","A","B","B","B","A","A","A","A","B","B","A","B","B","A","B","A","B","B"
"Height.5264",69.9993434819093,1,0,1,"B","B","A","B","B","A","B","B","B","B","B","B","A","B","B","B","A","A","B","B"
"Height.5265",73.5314291164953,1,0,1,"B","B","A","B","B","A","B","B","B","A","B","A","A","B","B","A","B","A","A","B"
"Height.5266",70.1971648629616,1,0,1,"B","B","A","B","B","A","B","B","A","B","B","A","A","A","A","A","A","A","B","B"
"Height.5267",74.2373747084232,1,0,1,"B","B","A","B","B","A","B","B","A","A","B","B","B","B","A","B","B","A","B","B"
"Height.5268",71.0111328634778,1,0,1,"B","B","A","B","B","A","B","A","B","B","A","B","A","A","A","A","B","A","B","A"
"Height.5269",74.373466930449,1,0,1,"B","B","A","B","B","A","B","A","B","A","B","B","A","A","B","B","B","A","A","B"
"Height.5270",73.6819760717982,1,0,1,"B","B","A","B","B","A","B","A","A","B","B","A","A","A","A","B","A","B","A","B"
"Height.5271",77.482936525373,1,0,1,"B","B","A","B","B","A","B","A","A","A","A","A","A","B","B","B","B","A","B","A"
"Height.5272",69.0687168113086,1,0,1,"B","B","A","B","B","A","A","B","B","B","B","B","A","B","B","B","B","A","A","B"
"Height.5273",72.1723891236899,1,0,1,"B","B","A","B","B","A","A","B","B","A","B","A","B","B","A","B","B","A","B","A"
"Height.5274",72.8804118374058,1,0,1,"B","B","A","B","B","A","A","B","A","B","B","A","A","B","B","B","B","A","A","A"
"Height.5275",75.40573831249,1,0,1,"B","B","A","B","B","A","A","B","A","A","B","B","B","B","A","B","A","A","A","A"
"Height.5276",73.8281078553722,1,0,1,"B","B","A","B","B","A","A","A","B","B","B","A","A","A","A","A","A","A","B","A"
"Height.5277",76.3798470188789,1,0,1,"B","B","A","B","B","A","A","A","B","A","A","A","B","B","A","B","A","A","B","A"
"Height.5278",75.6978010687908,1,0,1,"B","B","A","B","B","A","A","A","A","B","A","A","B","A","A","B","B","A","A","B"
"Height.5279",78.3641222728621,1,0,1,"B","B","A","B","B","A","A","A","A","A","A","A","A","A","B","B","A","B","A","B"
"Height.5280",71.3773910230651,1,0,1,"B","B","A","B","A","B","B","B","B","B","A","A","B","A","B","A","A","A","B","B"
"Height.5281",74.1681982169292,1,0,1,"B","B","A","B","A","B","B","B","B","A","B","A","B","A","A","A","B","B","B","B"
"Height.5282",71.5392488669079,1,0,1,"B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","A","A","B"
"Height.5283",75.9857593566844,1,0,1,"B","B","A","B","A","B","B","B","A","A","A","A","B","A","B","B","B","A","B","B"
"Height.5284",72.8787624922883,1,0,1,"B","B","A","B","A","B","B","A","B","B","A","B","A","A","A","B","A","A","B","A"
"Height.5285",75.5019181768336,1,0,1,"B","B","A","B","A","B","B","A","B","A","A","B","A","B","B","A","A","A","A","B"
"Height.5286",75.6413337120258,1,0,1,"B","B","A","B","A","B","B","A","A","B","A","B","A","A","A","A","A","B","B","A"
"Height.5287",78.7090874155431,1,0,1,"B","B","A","B","A","B","B","A","A","A","B","B","A","A","B","B","B","A","A","A"
"Height.5288",69.9588075103021,1,0,1,"B","B","A","B","A","B","A","B","B","B","A","A","B","B","B","B","A","B","A","A"
"Height.5289",73.482992438679,1,0,1,"B","B","A","B","A","B","A","B","B","A","A","B","A","A","A","B","B","A","A","B"
"Height.5290",72.9144919558045,1,0,1,"B","B","A","B","A","B","A","B","A","B","B","B","A","B","A","A","A","A","B","A"
"Height.5291",75.8911622497623,1,0,1,"B","B","A","B","A","B","A","B","A","A","A","A","A","A","B","A","A","B","B","B"
"Height.5292",72.9366036745286,1,0,1,"B","B","A","B","A","B","A","A","B","B","A","A","B","B","B","B","B","B","A","B"
"Height.5293",76.0946435835908,1,0,1,"B","B","A","B","A","B","A","A","B","A","A","A","A","B","B","A","A","A","B","A"
"Height.5294",74.8462650614377,1,0,1,"B","B","A","B","A","B","A","A","A","B","B","B","B","A","B","B","B","B","A","B"
"Height.5295",78.9174518396194,1,0,1,"B","B","A","B","A","B","A","A","A","A","A","B","A","A","B","A","B","B","B","A"
"Height.5296",71.8439095501001,1,0,1,"B","B","A","B","A","A","B","B","B","B","A","B","B","B","A","B","B","A","A","B"
"Height.5297",74.4774038656387,1,0,1,"B","B","A","B","A","A","B","B","B","A","B","B","A","A","A","B","B","A","A","B"
"Height.5298",73.4487509680529,1,0,1,"B","B","A","B","A","A","B","B","A","B","B","B","A","A","A","B","A","A","B","A"
"Height.5299",77.4382205397345,1,0,1,"B","B","A","B","A","A","B","B","A","A","A","A","B","B","B","A","A","A","A","B"
"Height.5300",73.8597192149011,1,0,1,"B","B","A","B","A","A","B","A","B","B","B","B","A","A","B","A","A","B","A","A"
"Height.5301",77.6429904252454,1,0,1,"B","B","A","B","A","A","B","A","B","A","A","B","B","B","B","B","A","B","B","A"
"Height.5302",77.2668967469952,1,0,1,"B","B","A","B","A","A","B","A","A","B","A","A","A","B","B","B","B","A","B","A"
"Height.5303",78.8964181648335,1,0,1,"B","B","A","B","A","A","B","A","A","A","A","A","A","A","A","A","A","A","A","A"
"Height.5304",70.6783443708583,1,0,1,"B","B","A","B","A","A","A","B","B","B","B","A","A","B","B","A","A","B","A","A"
"Height.5305",75.4678508235764,1,0,1,"B","B","A","B","A","A","A","B","B","A","A","A","A","A","A","B","B","B","B","B"
"Height.5306",73.7414706451866,1,0,1,"B","B","A","B","A","A","A","B","A","B","A","B","A","A","A","A","B","B","B","B"
"Height.5307",77.2302233487372,1,0,1,"B","B","A","B","A","A","A","B","A","A","A","B","B","A","A","B","A","B","A","A"
"Height.5308",75.6893483894618,1,0,1,"B","B","A","B","A","A","A","A","B","B","B","A","A","A","A","A","B","B","B","B"
"Height.5309",78.1593090482272,1,0,1,"B","B","A","B","A","A","A","A","B","A","B","A","B","B","A","B","B","A","A","B"
"Height.5310",78.2984630269596,1,0,1,"B","B","A","B","A","A","A","A","A","B","B","A","A","B","A","B","B","A","B","A"
"Height.5311",80.5623627835518,1,0,1,"B","B","A","B","A","A","A","A","A","A","B","A","A","A","A","A","B","B","B","A"
"Height.5312",127.588574716295,1,0,1,"B","B","A","A","B","B","B","B","B","B","A","B","B","B","A","A","B","B","A","A"
"Height.5313",129.99982745479,1,0,1,"B","B","A","A","B","B","B","B","B","A","B","A","B","B","B","B","B","A","B","A"
"Height.5314",129.754246549411,1,0,1,"B","B","A","A","B","B","B","B","A","B","A","B","B","B","A","B","B","A","A","A"
"Height.5315",133.380221541901,1,0,1,"B","B","A","A","B","B","B","B","A","A","B","A","A","A","A","B","A","B","B","B"
"Height.5316",131.168062664756,1,0,1,"B","B","A","A","B","B","B","A","B","B","B","A","B","A","A","A","B","A","A","A"
"Height.5317",132.238944513704,1,0,1,"B","B","A","A","B","B","B","A","B","A","A","B","A","B","B","A","B","A","A","A"
"Height.5318",131.562807710303,1,0,1,"B","B","A","A","B","B","B","A","A","B","A","A","A","B","B","B","A","B","A","B"
"Height.5319",135.097649777947,1,0,1,"B","B","A","A","B","B","B","A","A","A","A","B","B","A","B","A","A","A","B","A"
"Height.5320",128.568436123056,1,0,1,"B","B","A","A","B","B","A","B","B","B","B","B","B","A","A","A","B","A","B","A"
"Height.5321",130.905987646631,1,0,1,"B","B","A","A","B","B","A","B","B","A","B","A","B","A","B","A","A","A","A","B"
